# Experiment A — audit trail
# script: defense_figures/experiment_a_autonomous_vs_driven/make_experiment_a_figures.py
# pickle: chapter6Experiments/results/ch6_exp1_full.pkl
# reservoir_class: chapter6Experiments/run_chapter6_exp1_esp.py:Reservoir (sparse Gaussian, no SR rescaling)
# reservoir_seed: 42
# n_res: 256
# beta: 0.05
# threshold: 0.5
# density: 0.10
# sigma_w_rec: 0.05
# sigma_w_in: 0.30
# rho_W_rec: 0.2647549015
# T_renorm: 50
# delta_0: 1e-08
# n_measurements: 3165
# columns: trial,subject,class,channel,lambda1
trial,subject,class,channel,lambda1
154,63,1,0,-0.0623086675
154,63,1,8,-0.0627084212
154,63,1,16,-0.0619122769
154,63,1,24,-0.0627084785
154,63,1,33,-0.0625419269
155,63,2,0,-0.0618229591
155,63,2,8,-0.0616575905
155,63,2,16,-0.0618397200
155,63,2,24,-0.0625108522
155,63,2,33,-0.0633227274
156,64,0,0,-0.0619875360
156,64,0,8,-0.0617116644
156,64,0,16,-0.0619122379
156,64,0,24,-0.0620999437
156,64,0,33,-0.0617685624
157,64,1,0,-0.0622580948
157,64,1,8,-0.0623098134
157,64,1,16,-0.0617684614
157,64,1,24,-0.0623515705
157,64,1,33,-0.0619046064
158,64,2,0,-0.0623097549
158,64,2,8,-0.0619694467
158,64,2,16,-0.0619046260
158,64,2,24,-0.0616039832
158,64,2,33,-0.0623179345
159,65,0,0,-0.0621473338
159,65,0,8,-0.0618482554
159,65,0,16,-0.0618226198
159,65,0,24,-0.0616811387
